curriculum_rank,episode_id,stage,stage_position,cluster,difficulty,difficulty_z,coreset_rank,is_cluster_medoid,duration,path_length,net_displacement,tortuosity,log_tortuosity,mean_speed,max_speed,rms_acceleration,rms_jerk,normalized_jerk,log_normalized_jerk,reversal_rate,workspace_span,source,task_name,embodiment,arm_used,missing_frame_ratio
1,scale__2026-04-30-10-03-07-201204,1,1,0,0.003676470588235294,-1.6804172598803087,133,False,1645.0,0.024590219507916657,0.002186347887881009,11.247166859501624,2.5052946334667605,0.0004487266333561433,0.010013902991818124,0.00559902861083967,0.15902236804554773,1065205.4475010342,13.878679185758491,0.009738283627510651,0.006413172474458122,scale,freeform_insert_batteries_into_electronic_devices,human_bimanual,left,0.0
2,scale__2026-04-30-10-00-57-922936,1,2,0,0.007352941176470588,-1.4549352941788063,97,False,1754.0,0.031183666350846524,0.001485151123056663,20.996965134878582,3.090904495427948,0.000533662287806843,0.0020825884730585336,0.004240637038066797,0.17267209655593208,1105727.9015309324,13.916015314862062,0.001141552511415525,0.006911777348693034,scale,freeform_insert_batteries_into_electronic_devices,human_bimanual,left,0.0
3,scale__2026-04-30-09-44-12-558682,1,3,0,0.01838235294117647,-1.3536777523148793,123,False,485.0,18.803578818948004,1.4163132072041302,13.276426939537735,2.6586097112845275,1.165511083819091,4.330494290370007,21.29319656799487,849.4881209140237,190296.54210198545,12.156344137289034,0.006211180124223602,2.597214164140371,scale,freeform_sort_laundry_by_type_and_color,human_bimanual,right,0.0
4,scale__2026-04-30-09-43-12-362365,1,4,0,0.022058823529411766,-1.3107650368876749,113,False,562.0,19.81398421102494,1.1775212971471825,16.826858468741836,2.880706222786464,1.0595713481831517,4.799352915869789,19.88294107507921,773.0132581734982,255798.53849869876,12.452149363976302,0.0125,2.020119465034695,scale,freeform_sort_laundry_by_type_and_color,human_bimanual,right,0.0
5,yam__pick_hat__2026-07-02-23-08-00-468000,1,5,0,0.025735294117647058,-1.2668734004233637,272,False,295.0,1.573704613528065,0.022001961532275877,71.52565062071906,4.283940300952669,0.16058210342123114,0.5697367907138852,1.130475469641094,50.37967524459625,30284.112241670355,10.318411525588479,0.07720588235294118,0.5714771137732693,yam,yam_pick_hat,yam_bimanual,left,0.0
6,scale__2026-04-30-09-45-48-639800,1,6,0,0.03308823529411765,-1.2467260969296918,174,False,468.0,19.513756674228457,1.2800535479981876,15.244484658274692,2.7877534455199804,1.2535603859247402,4.108239428238857,16.544130875887454,611.6342798837305,118611.9040927068,11.683620563106913,0.004291845493562232,3.256609689133299,scale,freeform_sort_laundry_by_type_and_color,human_bimanual,left,0.0
7,yam__fold_clothes__2026-07-09-22-20-59-776000,1,7,0,0.03676470588235294,-1.241891193171093,267,False,793.0,3.7413813872485884,0.07606053824590961,49.189520262825546,3.915806245199673,0.1417189919412344,0.6742828975622006,1.1297813226887121,41.00986074774966,202064.05448944564,12.2163449764637,0.012674271229404309,0.6528600163886944,yam,yam_fold_tshirt,yam_bimanual,left,0.0
8,scale__2026-04-30-09-46-22-829609,1,8,0,0.04411764705882353,-1.1782496013902373,118,False,474.0,17.759418806687464,1.0988098451244779,16.16241325602211,2.8427217168072954,1.126390199155653,4.115470245604993,17.03737045168846,675.9820897399931,149657.671558404,11.916112457197814,0.00423728813559322,3.368206412537459,scale,freeform_sort_laundry_by_type_and_color,human_bimanual,left,0.0
9,yam__fold_clothes__2026-07-09-22-20-06-931000,1,9,0,0.04779411764705882,-1.1168026838507408,263,False,816.0,4.2159510427953215,0.0676161364949155,62.35125609568577,4.1486947344424925,0.15518838194338605,0.7500460896451154,1.262932203764294,45.545883630151174,217000.37215685335,12.287658955806076,0.019704433497536946,0.6743105905694424,yam,yam_fold_tshirt,yam_bimanual,left,0.0
10,yam__pack_items__2026-07-06-19-28-39-516000,1,10,0,0.051470588235294115,-1.1134043598455106,209,False,647.0,4.180131434194616,0.06750428639873722,61.92394079248887,4.141926708022953,0.1941237508139914,1.0127442063071894,1.681999146740751,61.87190676661085,148130.1402941089,11.9058532434747,0.04792332268370607,0.7071368855604498,yam,yam_pack_items,yam_bimanual,right,0.0
