scope,n_clips_in_scope,target,sort_key,n_steps,n_unique_clips,spearman,frac_nondecreasing,max_jump,max_abs_step,mean_abs_step,n_large_jumps,task_switch_rate,cluster_switch_rate,embodiment_switch_rate,source_switch_rate,mean_consecutive_dtw,max_consecutive_dtw,cluster_coverage,task_coverage,n_clips_to_target,distinct_clusters,frac_consecutive_near_duplicate,mean_pairwise_dtw,distinct_ratio
garments,131,121,composite difficulty,5.0,5.0,0.9999999999999999,1.0,0.01838235294117647,0.01838235294117647,0.015625,0.0,0.5,0.25,0.25,0.25,0.5973737174289645,0.9229010364298488,0.4,0.6,3.0,2.0,0.5,1.6874662897543509,1.0
garments,131,121,duration only,5.0,5.0,0.8999999999999998,0.75,0.025735294117647058,0.025735294117647058,0.017463235294117647,0.0,0.5,0.25,0.25,0.25,0.6332661866925705,0.9229010364298488,0.4,0.6,3.0,2.0,0.25,1.6874662897543509,1.0
garments,131,121,path_length only,5.0,5.0,0.39999999999999997,0.75,0.03676470588235294,0.044117647058823525,0.02665441176470588,0.0,0.5,0.25,0.5,0.5,0.6363213423612388,1.0,0.4,0.4,2.0,2.0,0.5,1.6874662897543509,1.0
garments,131,121,tortuosity only,5.0,5.0,0.9999999999999999,1.0,0.01838235294117647,0.01838235294117647,0.015625,0.0,0.5,0.25,0.25,0.25,0.5973737174289645,0.9229010364298488,0.4,0.6,3.0,2.0,0.5,1.6874662897543509,1.0
garments,131,121,random order,5.0,5.0,-0.3,0.5,0.05514705882352941,0.0625,0.043198529411764705,0.0,1.0,0.5,1.0,1.0,0.9701539556611339,1.0,0.4,0.6,5.0,2.0,0.0,1.6874662897543509,1.0
garments,131,62,composite difficulty,4.0,4.0,1.0,1.0,0.33088235294117646,0.33088235294117646,0.20710784313725492,2.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.8577545591657841,0.9126342446409311,0.6,0.4,4.0,3.0,0.0,1.930048478500108,1.0
garments,131,62,duration only,4.0,4.0,1.0,1.0,0.33088235294117646,0.33088235294117646,0.20710784313725492,2.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.8577545591657841,0.9126342446409311,0.6,0.4,4.0,3.0,0.0,1.930048478500108,1.0
garments,131,62,path_length only,4.0,4.0,1.0,1.0,0.33088235294117646,0.33088235294117646,0.20710784313725492,2.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.8577545591657841,0.9126342446409311,0.6,0.4,4.0,3.0,0.0,1.930048478500108,1.0
garments,131,62,tortuosity only,4.0,4.0,0.7999999999999999,0.6666666666666666,0.33088235294117646,0.33088235294117646,0.2193627450980392,2.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.8650458897023712,0.9193408070007293,0.6,0.4,3.0,3.0,0.0,1.930048478500108,1.0
garments,131,62,random order,4.0,4.0,0.39999999999999997,0.6666666666666666,0.33088235294117646,0.5845588235294118,0.40196078431372556,2.0,0.6666666666666666,1.0,0.0,0.6666666666666666,0.9261451231124935,0.9464603176958202,0.6,0.4,4.0,3.0,0.0,1.930048478500108,1.0
