episode_id,UMAP_X,UMAP_Y,UMAP_Z,cluster,cluster_label,n_frames,source,task_name,embodiment,arm_used,missing_frame_ratio,task_description,difficulty,difficulty_z,stage,curriculum_rank,coreset_rank,is_cluster_medoid
aria__2025-09-20-17-42-51-000000,-0.8302816152572632,5.915693283081055,4.484509468078613,3,Group 3,2808,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.9411764705882353,1.182526595995838,10,259,60,False
aria__2025-09-20-17-47-54-000000,-0.6380279064178467,5.859222888946533,4.448011875152588,3,Group 3,2815,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.7610294117647058,0.7095575811035099,10,218,120,False
aria__2025-09-20-18-05-52-000000,-0.4603566527366638,6.3259687423706055,3.6234028339385986,3,Group 3,3383,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.9117647058823529,1.108810824667503,10,251,116,False
aria__2025-09-20-18-11-35-000000,-0.7566488981246948,5.8274760246276855,4.438857555389404,3,Group 3,3136,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.9852941176470589,1.5300276945136198,10,270,5,False
aria__2025-09-20-18-39-18-000000,-0.8985477089881897,5.814853191375732,4.506278991699219,3,Group 3,3712,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.9926470588235294,1.6189612125726027,10,272,102,False
aria__2025-09-20-18-44-29-000000,0.16903099417686462,6.056934833526611,3.6493730545043945,3,Group 3,2350,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.8860294117647058,1.003047820770124,10,244,176,False
aria__2025-09-20-18-59-55-000000,-0.8132729530334473,5.69244384765625,4.42459774017334,3,Group 3,2343,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.9595588235294118,1.4025175555059324,10,264,155,False
aria__2025-09-20-19-04-22-000000,0.004274980165064335,6.138032913208008,3.6453089714050293,3,Group 3,2472,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.6066176470588235,0.4086707465671156,10,196,149,False
aria__2025-09-20-19-53-07-000000,0.44301265478134155,5.798998832702637,4.147754669189453,3,Group 3,2226,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.6029411764705882,0.402340307176203,10,195,183,False
aria__2025-09-20-19-57-29-000000,-0.36130160093307495,5.690446853637695,4.568905830383301,3,Group 3,2101,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.6801470588235294,0.5481289980320976,10,204,141,False
aria__2025-09-20-20-23-06-000000,-0.22629863023757935,6.222532749176025,3.584163188934326,3,Group 3,2607,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.8676470588235294,0.9838064703975476,10,242,157,False
aria__2025-09-20-20-27-23-000000,-0.5917378664016724,6.111682891845703,4.315739154815674,3,Group 3,2050,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.8419117647058824,0.9184001495772305,10,236,179,False
aria__2025-09-20-20-55-13-000000,-0.4293368458747864,5.670271873474121,4.585002422332764,3,Group 3,2329,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.75,0.6620873353504481,10,216,166,False
aria__2025-09-20-20-59-45-000000,0.35973888635635376,6.058577537536621,3.4184024333953857,3,Group 3,2435,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.8897058823529411,1.0298872069001637,10,245,193,True
aria__2025-09-20-21-23-13-000000,-0.2957766056060791,5.620797157287598,4.507831573486328,3,Group 3,2089,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.8345588235294118,0.8881824620913505,10,235,50,False
aria__2025-09-20-21-27-15-000000,-0.7167381644248962,6.699342250823975,3.9180126190185547,3,Group 3,2294,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.8602941176470589,0.971733171919475,10,240,40,False
aria__2025-09-21-20-44-10-000000,-0.45510175824165344,6.336610317230225,4.606740951538086,3,Group 3,3255,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.7904411764705882,0.7642423780843312,10,225,28,False
aria__2025-09-21-20-50-33-000000,-0.6146560907363892,6.243645668029785,4.144376277923584,3,Group 3,2730,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.7389705882352942,0.624909624588849,10,214,129,False
aria__2025-09-21-20-56-12-000000,-0.8312284350395203,6.531813621520996,4.987332344055176,3,Group 3,2504,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.9889705882352942,1.5942767256607568,10,271,106,False
aria__2025-09-21-21-01-12-000000,-0.34006744623184204,6.266592502593994,4.226032257080078,3,Group 3,3528,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.9485294117647058,1.2543409498152711,10,261,92,False
aria__2025-09-21-21-35-21-000000,-1.081222653388977,6.591258525848389,5.175897598266602,3,Group 3,2994,aria,fold_clothes,human_bimanual,left,unknown,folding clothes,1.0,1.894008311433448,10,273,15,False
aria__2025-09-21-21-40-03-000000,-0.9327396154403687,6.6570963859558105,5.036621570587158,3,Group 3,3508,aria,fold_clothes,human_bimanual,left,unknown,folding clothes,0.9522058823529411,1.2757390803676716,10,262,121,False
aria__2025-09-21-22-17-10-000000,-0.26957353949546814,6.374112129211426,3.4245147705078125,3,Group 3,3327,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.8014705882352942,0.7999687842979428,10,227,168,False
aria__2025-09-21-22-21-41-000000,-0.9036058187484741,6.645483016967773,5.017807960510254,3,Group 3,3541,aria,fold_clothes,human_bimanual,left,unknown,folding clothes,0.8308823529411765,0.8660670906642446,10,234,83,False
aria__2025-09-22-01-56-37-000000,-0.08498766273260117,6.345852375030518,3.323110818862915,3,Group 3,3177,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.9375,1.1781975238827351,10,258,124,False
aria__2025-09-22-02-02-19-000000,-1.0025196075439453,6.599423885345459,5.107422828674316,3,Group 3,3805,aria,fold_clothes,human_bimanual,left,unknown,folding clothes,0.9742647058823529,1.5052600017550462,10,268,132,False
aria__2025-09-22-02-19-38-000000,-1.156484842300415,6.653879642486572,5.241220474243164,3,Group 3,4240,aria,fold_clothes,human_bimanual,left,unknown,folding clothes,0.9632352941176471,1.4180666882902486,10,265,127,False
aria__2025-09-22-02-24-19-000000,-0.36674293875694275,6.518492698669434,3.2973685264587402,3,Group 3,3785,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.9669117647058824,1.4194547183018469,10,266,56,False
aria__2025-09-22-02-31-37-000000,-0.7332435846328735,5.878667831420898,4.461241722106934,3,Group 3,3723,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.9154411764705882,1.1187496759230073,10,252,39,False
aria__2025-09-22-02-36-16-000000,-0.3882252871990204,6.522090435028076,3.307432174682617,3,Group 3,3476,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.9044117647058824,1.0643157798048377,10,249,142,False
aria__2025-09-22-03-09-27-000000,-1.1347452402114868,6.471720218658447,5.194682598114014,3,Group 3,3578,aria,fold_clothes,human_bimanual,left,unknown,folding clothes,0.9705882352941176,1.4296691300846789,10,267,61,False
aria__2025-09-22-03-13-58-000000,-1.0691922903060913,6.621860980987549,5.1888957023620605,3,Group 3,3659,aria,fold_clothes,human_bimanual,left,unknown,folding clothes,0.8823529411764706,0.9995252711322554,10,243,109,False
aria__2025-09-22-19-42-55-000000,0.46893012523651123,5.954642295837402,4.031517505645752,3,Group 3,2684,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.5992647058823529,0.39932355285169635,10,194,45,False
aria__2025-09-22-19-49-07-000000,0.6898779273033142,5.9762091636657715,3.1425132751464844,3,Group 3,3892,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.9558823529411765,1.3255210087542584,10,263,26,False
aria__2025-09-22-20-11-49-000000,-0.09183163940906525,6.669504165649414,4.409033298492432,3,Group 3,2193,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.8639705882352942,0.9727057913998388,10,241,31,False
aria__2025-09-22-20-17-09-000000,-0.31275036931037903,6.359774112701416,4.375900745391846,3,Group 3,2700,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.8529411764705882,0.9512180292168368,10,238,73,False
aria__2025-09-22-20-23-21-000000,0.5145355463027954,6.123371601104736,3.3264787197113037,3,Group 3,3317,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.9338235294117647,1.1602271027727022,10,257,94,False
aria__2025-09-22-20-27-48-000000,-0.3280312418937683,6.686164379119873,4.483891487121582,3,Group 3,2398,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.9301470588235294,1.1573988650642029,10,256,95,False
aria__2025-09-22-20-35-24-000000,-0.33653151988983154,6.541078567504883,4.154087066650391,3,Group 3,2717,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.8933823529411765,1.037984474818702,10,246,108,False
aria__2025-09-22-20-41-18-000000,-0.12446658313274384,6.252439498901367,3.4955482482910156,3,Group 3,4900,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.9191176470588235,1.1245231651157013,10,253,37,False
aria__2025-09-22-20-47-49-000000,1.0103505849838257,5.595082759857178,3.4957845211029053,3,Group 3,2718,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.8161764705882353,0.8450485200443217,10,230,100,False
aria__2025-09-22-21-00-06-000000,-0.4811359941959381,6.18621826171875,4.320946216583252,3,Group 3,2689,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.7463235294117647,0.634086998595918,10,215,161,False
aria__2025-09-22-21-04-21-000000,-0.03203454986214638,6.199073791503906,3.489018201828003,3,Group 3,3020,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.7022058823529411,0.5784254433473857,10,208,158,False
aria__2025-09-23-19-20-34-000000,0.24814823269844055,5.812167644500732,4.372629165649414,3,Group 3,2139,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.8566176470588235,0.9534101204727792,10,239,144,False
aria__2025-09-23-19-25-08-000000,0.6304075717926025,5.923678398132324,3.2549445629119873,3,Group 3,2585,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.6691176470588235,0.5327041247257903,10,201,112,False
aria__2025-09-23-19-32-44-000000,-0.6911921501159668,6.161891460418701,4.2511162757873535,3,Group 3,2277,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.7830882352941176,0.7449751727383316,10,224,134,False
aria__2025-09-23-19-37-29-000000,-0.6629998087882996,6.781193256378174,4.015307903289795,3,Group 3,2055,aria,fold_clothes,human_bimanual,left,unknown,folding clothes,0.8455882352941176,0.9302478708413082,10,237,78,False
aria__2025-09-23-20-14-31-000000,-0.836347222328186,6.5174455642700195,3.781735420227051,3,Group 3,2713,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.8088235294117647,0.8287687522155601,10,229,79,False
aria__2025-09-23-20-19-39-000000,-0.014088493771851063,6.10523796081543,4.443802356719971,3,Group 3,2649,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.9816176470588235,1.5244152976383258,10,269,76,False
aria__2025-09-23-20-30-13-000000,-0.6479364037513733,5.795143127441406,4.3769330978393555,3,Group 3,2368,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.9448529411764706,1.2365554268115058,10,260,51,False
aria__2025-09-23-20-34-49-000000,-0.7690743207931519,6.533951282501221,3.6389782428741455,3,Group 3,3036,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.9227941176470589,1.1245923248537812,10,254,10,False
aria__2025-09-23-21-10-33-000000,0.6337969899177551,5.849208831787109,4.01350736618042,3,Group 3,2340,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.7352941176470589,0.6226570394709605,10,213,164,False
aria__2025-09-23-21-14-51-000000,-0.31082403659820557,5.971142768859863,4.425462245941162,3,Group 3,1946,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.7573529411764706,0.6979103833261452,10,217,114,False
aria__2025-09-23-21-34-16-000000,0.4271409511566162,6.002434730529785,3.4664528369903564,3,Group 3,2966,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.8235294117647058,0.8649559966950693,10,232,74,False
