scope,n_clips_in_scope,target,ordering,n_steps,n_unique_clips,spearman,frac_nondecreasing,max_jump,max_abs_step,mean_abs_step,n_large_jumps,task_switch_rate,cluster_switch_rate,embodiment_switch_rate,source_switch_rate,mean_consecutive_dtw,max_consecutive_dtw,spearman_with_reviews,frac_nondecreasing_with_reviews,task_switch_rate_with_reviews,cluster_switch_rate_with_reviews,cluster_coverage,task_coverage,n_clips_to_target,distinct_clusters,frac_consecutive_near_duplicate,mean_pairwise_dtw,distinct_ratio
garments,131,121,Curriculum path,6.0,5.0,0.6,0.5,0.044117647058823525,0.044117647058823525,0.022058823529411763,0.0,0.5,0.25,0.25,0.25,0.5927560565712056,0.9044303929988131,0.20291986247835694,0.6,0.8,0.6,0.4,0.6,6.0,2.0,0.2,1.6874662897543509,0.8333333333333334
garments,131,121,Random order (same clips),5.0,5.0,0.07999999999999999,0.45,0.045955882352941166,0.04889705882352941,0.030238970588235298,0.0,0.625,0.425,0.45,0.45,0.7264220899772342,0.9880615822644536,,,,,0.32,0.42000000000000004,3.0,1.6,0.175,1.6874662897543509,1.0
garments,131,121,Random subset (same size),5.0,5.0,-0.14999999999999997,0.35,0.7147058823529412,0.7661764705882353,0.4310661764705882,1.2,0.65,0.575,0.5,0.625,0.8549847541782967,0.9775360307471136,,,,,0.36,0.4,3.1,1.8,0.075,1.8697342624132154,1.0
garments,131,121,Difficulty-sorted (same clips),5.0,5.0,0.9999999999999999,1.0,0.01838235294117647,0.01838235294117647,0.015625,0.0,0.5,0.25,0.25,0.25,0.5973737174289645,0.9229010364298488,,,,,0.4,0.6,3.0,2.0,0.5,1.6874662897543509,1.0
garments,131,121,Coreset prefix (same size),5.0,5.0,0.09999999999999999,0.5,0.8676470588235294,0.8860294117647058,0.6755514705882353,2.0,1.0,1.0,0.25,1.0,0.9684036469613908,1.0,,,,,0.8,0.8,5.0,4.0,0.0,2.091316744144682,1.0
garments,131,62,Curriculum path,4.0,4.0,1.0,1.0,0.33088235294117646,0.33088235294117646,0.20710784313725492,2.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.8577545591657841,0.9126342446409311,,,,,0.6,0.4,4.0,3.0,0.0,1.930048478500108,1.0
garments,131,62,Random order (same clips),4.0,4.0,0.019999999999999962,0.5,0.45367647058823535,0.5738970588235295,0.3047794117647059,0.9,0.4333333333333333,0.6666666666666667,0.0,0.4333333333333333,0.8735667837060618,0.9487830615508102,,,,,0.38,0.32,2.5,1.9,0.0,1.9300484785001077,1.0
garments,131,62,Random subset (same size),4.0,4.0,0.12,0.5,0.5,0.5334558823529412,0.34705882352941175,1.3,0.6,0.5,0.4333333333333333,0.6,0.8764741837534661,0.9479841443703844,,,,,0.32,0.4,2.8,1.6,0.06666666666666667,1.888183362165914,1.0
garments,131,62,Difficulty-sorted (same clips),4.0,4.0,1.0,1.0,0.33088235294117646,0.33088235294117646,0.20710784313725492,2.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.8577545591657841,0.9126342446409311,,,,,0.6,0.4,4.0,3.0,0.0,1.930048478500108,1.0
garments,131,62,Coreset prefix (same size),4.0,4.0,-0.39999999999999997,0.3333333333333333,0.8051470588235294,0.8860294117647058,0.6115196078431372,1.0,1.0,1.0,0.3333333333333333,1.0,0.9701283671013191,1.0,,,,,0.8,0.8,4.0,4.0,0.0,2.143588081160432,1.0
garments,131,61,Curriculum path,3.0,3.0,1.0,1.0,0.5955882352941176,0.5955882352941176,0.34375,1.0,0.5,0.5,0.0,0.5,0.8399094688285782,0.906981954664931,,,,,0.4,0.4,3.0,2.0,0.0,1.8928117397124051,1.0
