step,clip_index,episode_id,is_review,reviews_step,task_name,task_description,stage,cluster,difficulty,difficulty_z,embodiment,source,n_frames,edge_weight,ramp_cost,interference_cost,redundancy_cost,dtw_from_prev,difficulty_delta,on_graph_edge,task_switch,cluster_switch,embodiment_switch,source_switch
1,87,scale__2026-04-30-09-46-32-799264,False,,freeform_hang_shirt_on_hanger_and_place_on_rack,Hang shirt on hanger and place on rack,3,8,0.0,-1.9141049021570276,human_bimanual,scale,473,,,,,,,True,False,False,False,False
2,82,scale__2026-04-30-09-44-12-558682,False,,freeform_sort_laundry_by_type_and_color,Sort laundry by type and color,1,0,0.01838235294117647,-1.3536777523148793,human_bimanual,scale,485,2.358091798016337,0.6323529411764706,1.6257388568398665,0.0,0.8257388568398664,0.01838235294117647,True,True,True,False,False
3,113,yam__fold_clothes__2026-07-09-22-12-27-388000,False,,yam_fold_tshirt,fold the black t shirt using both arms,1,0,0.0625,-1.094864354905407,yam_bimanual,yam,901,2.1220774518223426,0.11764705882352955,1.9044303929988131,0.0,0.9044303929988131,0.044117647058823525,True,True,False,True,True
4,118,yam__fold_clothes__2026-07-09-22-18-13-776000,False,,yam_fold_tshirt,fold the black t shirt using both arms,1,0,0.125,-0.9885956572540369,yam_bimanual,yam,839,0.8537994885676553,0.24999999999999994,0.26874365795754857,0.23505583061010682,0.26874365795754857,0.0625,True,False,False,False,False
5,87,scale__2026-04-30-09-46-32-799264,True,1.0,freeform_hang_shirt_on_hanger_and_place_on_rack,Hang shirt on hanger and place on rack,3,8,0.0,-1.9141049021570276,human_bimanual,scale,473,,,2.3000000000000003,0.0,1.0,-0.125,False,True,True,True,True
6,123,yam__fold_clothes__2026-07-09-22-23-18-188000,False,,yam_fold_tshirt,fold the black t shirt using both arms,1,0,0.17279411764705882,-0.9000029019018362,yam_bimanual,yam,861,4.855882352941176,2.455882352941176,2.3000000000000003,0.0,1.0,0.17279411764705882,False,True,True,True,True
7,106,yam__fold_clothes__2026-07-08-22-22-13-384000,False,,yam_fold_tshirt,fold the black t shirt using both arms,1,0,0.22426470588235295,-0.8291330958313451,yam_bimanual,yam,864,0.5652763327670152,0.029411764705882526,0.3055374109250271,0.13032715713610551,0.3055374109250271,0.05147058823529413,True,False,False,False,False
8,92,yam__fold_clothes__2026-07-08-22-07-10-737000,False,,yam_fold_tshirt,fold the black t shirt using both arms,1,0,0.2867647058823529,-0.7021944645364414,yam_bimanual,yam,1081,0.7422188478967128,0.2499999999999994,0.3291760614724013,0.06304278642431216,0.3291760614724013,0.06249999999999997,True,False,False,False,False
9,91,yam__fold_clothes__2026-07-08-22-05-50-932000,False,,yam_fold_tshirt,fold the black t shirt using both arms,1,0,0.375,-0.45599624715825154,yam_bimanual,yam,1151,1.33419268990962,0.7647058823529415,0.28732750702010196,0.18215930053657636,0.28732750702010196,0.08823529411764708,True,False,False,False,False
10,87,scale__2026-04-30-09-46-32-799264,True,1.0,freeform_hang_shirt_on_hanger_and_place_on_rack,Hang shirt on hanger and place on rack,3,8,0.0,-1.9141049021570276,human_bimanual,scale,473,,,2.3000000000000003,0.0,1.0,-0.375,False,True,True,True,True
11,94,yam__fold_clothes__2026-07-08-22-09-05-861000,False,,yam_fold_tshirt,fold the black t shirt using both arms,1,0,0.4411764705882353,-0.09646941794320338,yam_bimanual,yam,1213,10.223529411764705,7.823529411764706,2.3000000000000003,0.0,1.0,0.4411764705882353,False,True,True,True,True
