stage,n_episodes,mean_difficulty,min_difficulty,max_difficulty,mean_path_length,mean_tortuosity
1,106,0.24472807991120976,0.003676470588235294,0.6470588235294118,8.42734851071271,123.83390342151603
2,5,0.3014705882352941,0.029411764705882353,0.5441176470588235,24.41143899445525,69.0808261994159
3,4,0.3244485294117647,0.0,0.5220588235294118,26.093025227918627,41.12757638105534
4,2,0.37316176470588236,0.26838235294117646,0.47794117647058826,27.293174110608,27.941195618418064
5,3,0.5036764705882354,0.41544117647058826,0.5625,30.509658804057533,73.50210984917483
6,41,0.510670731707317,0.011029411764705883,0.9963235294117647,34.88519185774098,249.71702146113327
7,3,0.5428921568627451,0.43014705882352944,0.6397058823529411,41.10455326786292,68.50512768618334
8,21,0.5934873949579832,0.4007352941176471,0.8786764705882353,46.39997428484544,125.64530321618778
9,1,0.7205882352941176,0.7205882352941176,0.7205882352941176,36.85617625541947,69.34799735970165
10,87,0.8016818796484111,0.40441176470588236,1.0,49.39382096147233,179.71360801674055
